,year,CPI,yearly_change_c,median_income,yearly_change_i
0,2022,296.797,6.4544013314108195,74580,5.368748233964404
1,2021,278.802,7.036402865545144,70780,4.0729304514042
2,2020,260.474,1.3620054947193205,68010,-1.0043668122270755
3,2019,256.974,2.2851297401217163,68700,8.7369420702754
4,2018,251.233,1.9101588486313714,63180,3.336604514229635
5,2017,246.524,2.1090824745684245,61140,-0.3747759491608327
6,2017,246.524,2.1090824745684245,61370,3.9464769647696407
7,2016,241.432,2.074622132966919,59040,4.458598726114649
8,2015,236.525,0.7295197860415881,56520,5.32985464032798
9,2014,234.812,0.7564932696557447,53660,0.13062138458668215
10,2013,233.049,1.501735619618394,53590,3.1767423950712415
11,2013,233.049,1.501735619618394,51940,1.8032144257154048
12,2012,229.601,1.741022368747558,51020,1.9380619380619413
13,2011,225.672,2.9624188448710953,50050,1.5625
14,2010,219.179,1.4957235273143077,49280,-1.0044194455604671
15,2009,215.949,2.721331126205828,49780,-1.0337972166998055
16,2008,210.228,0.09141290064560437,50300,0.13935894883536637
17,2007,210.036,4.081268582755193,50230,4.211618257261418
18,2006,201.8,2.5406504065040636,48200,4.036261601554059
19,2005,196.8,3.4156594850236477,46330,4.5116174148432275
20,2004,190.3,3.255561584373301,44330,2.33148661126501
21,2003,184.3,1.8794914317302513,43320,2.1457203489742893
22,2002,180.9,2.376910016977929,42410,0.42623727208146445
23,2001,176.7,1.551724137931032,42230,0.5715646582519662
24,2000,174.0,3.3868092691621943,41990,3.1695331695331674
25,1999,168.3,2.684563758389258,40700,4.654152738493189
26,1998,163.9,1.6119032858028515,38890,5.079708186976495
27,1997,161.3,1.7023959646910614,37010,4.282896590588892
28,1996,158.6,3.322475570032579,35490,4.137323943661975
29,1995,153.5,2.5384101536406245,34080,5.64166150030998
30,1994,149.7,2.674897119341546,32260,3.2650448143405786
31,1993,145.8,2.748414376321362,31240,1.9582245430809442
32,1992,141.9,2.9006526468455363,30640,1.692665117822778
33,1991,137.9,3.064275037369213,30130,0.634602538410145
34,1990,133.8,6.10626486915149,29940,3.562781044621244
35,1989,126.1,4.647302904564321,28910,6.169665809768632
36,1988,120.5,4.419410745233954,27230,4.489639293937064
37,1987,115.4,4.4343891402715,26060,4.658634538152606
38,1986,110.5,1.097895699908502,24900,5.419136325148188
39,1985,109.3,3.7986704653371284,23620,5.35236396074934
40,1984,105.3,3.948667324777877,22420,7.324078506462417
41,1983,101.3,3.7909836065573854,20890,3.5696579077838297
42,1982,97.6,3.8297872340425476,20170,5.76822233875196
43,1981,94.0,8.92236384704519,19070,7.679277244494642
44,1980,86.3,12.516297262059961,17710,7.594167679222363
45,1979,76.7,13.293943870014768,16460,9.296148738379806
46,1978,67.7,9.017713365539448,15060,10.980103168754596
47,1977,62.1,6.70103092783505,13570,6.934594168636732
48,1976,58.2,4.86486486486486,12690,7.54237288135593
49,1975,55.5,6.936416184971095,11800,5.35714285714286
50,1974,51.9,12.337662337662337,11200,6.565176022835395
51,1973,46.2,8.705882352941185,10510,8.384036299886555
52,1972,42.5,3.406326034063256,9697,7.4102791315906025
53,1971,41.1,3.266331658291466,9028,3.3661552553240215
54,1970,39.8,5.570291777188308,8734,4.11252831088329
55,1969,37.7,6.197183098591563,8389,8.343019501485216
56,1968,35.5,4.71976401179941,7743,8.399832003359942
57,1967,33.9,3.039513677811545,7143,
