,year,median_income
1,2022,74580
2,2021,70780
3,2020,68010
4,2019,68700
5,2018,63180
6,2017,61140
7,2017,61370
8,2016,59040
9,2015,56520
10,2014,53660
11,2013,53590
12,2013,51940
13,2012,51020
14,2011,50050
15,2010,49280
16,2009,49780
17,2008,50300
18,2007,50230
19,2006,48200
20,2005,46330
21,2004,44330
22,2003,43320
23,2002,42410
24,2001,42230
25,2000,41990
26,1999,40700
27,1998,38890
28,1997,37010
29,1996,35490
30,1995,34080
31,1994,32260
32,1993,31240
33,1992,30640
34,1991,30130
35,1990,29940
36,1989,28910
37,1988,27230
38,1987,26060
39,1986,24900
40,1985,23620
41,1984,22420
42,1983,20890
43,1982,20170
44,1981,19070
45,1980,17710
46,1979,16460
47,1978,15060
48,1977,13570
49,1976,12690
50,1975,11800
51,1974,11200
52,1973,10510
53,1972,9697
54,1971,9028
55,1970,8734
56,1969,8389
57,1968,7743
58,1967,7143
