,year,median_income,yearly_change_i,pct_income_increase
58,1967,7143,,
57,1968,7743,8.399832003359942,8.399832003359942
56,1969,8389,8.343019501485216,16.742851504845156
55,1970,8734,4.11252831088329,20.855379815728448
54,1971,9028,3.3661552553240215,24.221535071052468
53,1972,9697,7.4102791315906025,31.63181420264307
52,1973,10510,8.384036299886555,40.015850502529624
51,1974,11200,6.565176022835395,46.58102652536502
50,1975,11800,5.35714285714286,51.93816938250788
49,1976,12690,7.54237288135593,59.48054226386381
48,1977,13570,6.934594168636732,66.41513643250055
47,1978,15060,10.980103168754596,77.39523960125514
46,1979,16460,9.296148738379806,86.69138833963495
45,1980,17710,7.594167679222363,94.28555601885732
44,1981,19070,7.679277244494642,101.96483326335196
43,1982,20170,5.76822233875196,107.73305560210392
42,1983,20890,3.5696579077838297,111.30271350988775
41,1984,22420,7.324078506462417,118.62679201635017
40,1985,23620,5.35236396074934,123.97915597709951
39,1986,24900,5.419136325148188,129.3982923022477
38,1987,26060,4.658634538152606,134.0569268404003
37,1988,27230,4.489639293937064,138.54656613433738
36,1989,28910,6.169665809768632,144.71623194410603
35,1990,29940,3.562781044621244,148.27901298872726
34,1991,30130,0.634602538410145,148.9136155271374
33,1992,30640,1.692665117822778,150.60628064496018
32,1993,31240,1.9582245430809442,152.56450518804112
31,1994,32260,3.2650448143405786,155.8295500023817
30,1995,34080,5.64166150030998,161.4712115026917
29,1996,35490,4.137323943661975,165.60853544635367
28,1997,37010,4.282896590588892,169.89143203694258
27,1998,38890,5.079708186976495,174.97114022391906
26,1999,40700,4.654152738493189,179.62529296241226
25,2000,41990,3.1695331695331674,182.79482613194543
24,2001,42230,0.5715646582519662,183.36639079019739
23,2002,42410,0.42623727208146445,183.79262806227885
22,2003,43320,2.1457203489742893,185.93834841125314
21,2004,44330,2.33148661126501,188.26983502251815
20,2005,46330,4.5116174148432275,192.78145243736137
19,2006,48200,4.036261601554059,196.81771403891543
18,2007,50230,4.211618257261418,201.02933229617685
17,2008,50300,0.13935894883536637,201.1686912450122
16,2009,49780,-1.0337972166998055,200.1348940283124
15,2010,49280,-1.0044194455604671,199.13047458275193
14,2011,50050,1.5625,200.69297458275193
13,2012,51020,1.9380619380619413,202.63103652081386
12,2013,51940,1.8032144257154048,204.43425094652926
11,2013,53590,3.1767423950712415,207.6109933416005
10,2014,53660,0.13062138458668215,207.74161472618718
9,2015,56520,5.32985464032798,213.07146936651515
8,2016,59040,4.458598726114649,217.5300680926298
7,2017,61370,3.9464769647696407,221.47654505739942
6,2017,61140,-0.3747759491608327,221.10176910823859
5,2018,63180,3.336604514229635,224.43837362246822
4,2019,68700,8.7369420702754,233.17531569274362
3,2020,68010,-1.0043668122270755,232.17094888051656
2,2021,70780,4.0729304514042,236.24387933192077
1,2022,74580,5.368748233964404,241.61262756588516
