,year,CPI,yearly_change_c
109,2022,296.797,6.4544013314108195
108,2021,278.802,7.036402865545144
107,2020,260.474,1.3620054947193205
106,2019,256.974,2.2851297401217163
105,2018,251.233,1.9101588486313714
104,2017,246.524,2.1090824745684245
103,2016,241.432,2.074622132966919
102,2015,236.525,0.7295197860415881
101,2014,234.812,0.7564932696557447
100,2013,233.049,1.501735619618394
99,2012,229.601,1.741022368747558
98,2011,225.672,2.9624188448710953
97,2010,219.179,1.4957235273143077
96,2009,215.949,2.721331126205828
95,2008,210.228,0.09141290064560437
94,2007,210.036,4.081268582755193
93,2006,201.8,2.5406504065040636
92,2005,196.8,3.4156594850236477
91,2004,190.3,3.255561584373301
90,2003,184.3,1.8794914317302513
89,2002,180.9,2.376910016977929
88,2001,176.7,1.551724137931032
87,2000,174.0,3.3868092691621943
86,1999,168.3,2.684563758389258
85,1998,163.9,1.6119032858028515
84,1997,161.3,1.7023959646910614
83,1996,158.6,3.322475570032579
82,1995,153.5,2.5384101536406245
81,1994,149.7,2.674897119341546
80,1993,145.8,2.748414376321362
79,1992,141.9,2.9006526468455363
78,1991,137.9,3.064275037369213
77,1990,133.8,6.10626486915149
76,1989,126.1,4.647302904564321
75,1988,120.5,4.419410745233954
74,1987,115.4,4.4343891402715
73,1986,110.5,1.097895699908502
72,1985,109.3,3.7986704653371284
71,1984,105.3,3.948667324777877
70,1983,101.3,3.7909836065573854
69,1982,97.6,3.8297872340425476
68,1981,94.0,8.92236384704519
67,1980,86.3,12.516297262059961
66,1979,76.7,13.293943870014768
65,1978,67.7,9.017713365539448
64,1977,62.1,6.70103092783505
63,1976,58.2,4.86486486486486
62,1975,55.5,6.936416184971095
61,1974,51.9,12.337662337662337
60,1973,46.2,8.705882352941185
59,1972,42.5,3.406326034063256
58,1971,41.1,3.266331658291466
57,1970,39.8,5.570291777188308
56,1969,37.7,6.197183098591563
55,1968,35.5,4.71976401179941
54,1967,33.9,3.039513677811545
53,1966,32.9,3.459119496855334
52,1965,31.8,1.9230769230769384
51,1964,31.2,0.9708737864077666
50,1963,30.9,1.6447368421052655
49,1962,30.4,1.3333333333333197
48,1961,30.0,0.6711409395973034
47,1960,29.8,1.3605442176870763
46,1959,29.4,1.730103806228378
45,1958,28.9,1.760563380281699
44,1957,28.4,2.898550724637672
43,1956,27.6,2.9850746268656803
42,1955,26.8,0.3745318352059934
41,1954,26.7,-0.743494423791824
40,1953,26.9,0.7490636704119868
39,1952,26.7,0.7547169811320753
38,1951,26.5,6.000000000000005
37,1950,25.0,5.932203389830493
36,1949,23.6,-2.0746887966805017
35,1948,24.1,2.991452991453003
34,1947,23.4,8.837209302325565
33,1946,21.5,18.131868131868135
32,1945,18.2,2.2471910112359383
31,1944,17.8,2.298850574712663
30,1943,17.4,2.9585798816567976
29,1942,16.9,9.03225806451613
28,1941,15.5,9.92907801418439
27,1940,14.1,0.7142857142857117
26,1939,14.0,0.0
25,1938,14.0,-2.777777777777779
24,1937,14.4,2.857142857142869
23,1936,14.0,1.4492753623188248
22,1935,13.8,2.9850746268656803
21,1934,13.4,1.5151515151515138
20,1933,13.2,0.7633587786259444
19,1932,13.1,-10.273972602739722
18,1931,14.6,-9.316770186335411
17,1930,16.1,-6.3953488372092915
16,1929,17.2,0.5847953216374213
15,1928,17.1,-1.1560693641618491
14,1927,17.3,-2.259887005649708
13,1926,17.7,-1.1173184357541888
12,1925,17.9,3.4682080924855363
11,1924,17.3,0.0
10,1923,17.3,2.366863905325456
9,1922,16.9,-2.3121387283237094
8,1921,17.3,-10.824742268041232
7,1920,19.4,2.645502645502651
6,1919,18.9,14.545454545454529
5,1918,16.5,20.43795620437956
4,1917,13.7,18.10344827586208
3,1916,11.6,12.621359223300965
2,1915,10.3,1.980198019801982
1,1914,10.1,1.0000000000000009
0,1913,10.0,
